csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71	motion_outlier72	motion_outlier73	motion_outlier74	motion_outlier75
321.8031978157448	n/a	n/a	103557.29812443936	273.1029228103444	n/a	74585.20644755293	n/a	348.05261083251185	n/a	n/a	121140.61990732794	n/a	n/a	n/a	-0.011719803	0.0962028109	-0.011459157	0.0068371097999999995	-0.067062073	-0.0146542183	0.0027201972	-0.0593751367	-0.0411114577	0.09649179890000001	-0.0521463659	-0.042303371500000006	-0.00161029	0.0015766025	-0.057868979699999996	-0.0190833648	0.013596836200000002	-0.0357003833	0.07993507009999999	0.0799320503	0.0799270173	0.0799199714	0.0799109126	0.0798998413	0.0251183	n/a	n/a	0.0006309289948899999	-0.121997	n/a	n/a	0.014883268009000004	-0.008523559999999998	n/a	7.265107507359996e-05	n/a	-0.000673558	n/a	4.5368037936400004e-07	n/a	0.000448475	n/a	2.01129825625e-07	n/a	0.000213282	n/a	n/a	4.5489211524e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.3784552057079	-10.4247426100369	108.675258485519	96956.54236629304	273.7184189118171	0.6154961014726723	74921.77285158499	0.37883545092805815	346.6956027129532	-1.3570081195586567	1.8414710365481215	120197.84094049787	0.8706859999999998	97.739197	0.311237774	-0.029790691600000002	-0.023847656499999998	-0.024263378399999997	-0.0076145068	0.0120711893	-0.0044122687	0.0459958651	-0.0151946246	-0.028276759	-0.026513109	0.0041813062	-0.0053348386999999995	-0.023741719100000003	-0.0075597993	0.0071845938	-0.0179362183	-0.0496332654	-0.041568376000000004	0.0799270173	0.0798998413	0.0798545546	0.0797911678	0.079709695	0.0796101548	-0.000115219	-0.025233519	0.0006367304811233608	1.3275417961e-08	0.0375383	0.15953530000000002	0.025451511946090005	0.0014091239668900005	0.0597562	0.06827976	0.003570803438440001	0.004662125625657599	-0.00119184	-0.000518282	1.4204825856e-06	2.6861623152399996e-07	-0.0	-0.000448475	0.0	2.01129825625e-07	1.62551e-05	-0.00019702689999999998	3.8819599323610004e-08	2.6422827601e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.3452528311372	-7.033202374570693	49.465935641666825	92626.03292084883	273.5756212565705	-0.14279765524656796	74843.62054591851	0.020391170343917683	344.25284789042723	-2.442754822525956	5.967051122973813	118510.02328066964	0.5899270000000001	66.222443	0.040094050000000006	-0.030197687200000007	-0.050860422599999996	-0.0087959631	-0.0033262038	0.046729052300000004	0.0200049145	0.058073680999999995	-0.029401425499999998	-0.0181329907	-0.0570015892	-0.025300892599999996	-0.046924762800000006	-0.0068936565	-0.0038543644	0.044078325300000006	0.0042664544	-0.059467377	-0.0050656188	0.0799109126	0.0798354362	0.079709695	0.0795337681	0.0793077664	0.0790318321	-0.000115219	0.0	0.0	1.3275417961e-08	0.0429649	0.005426599999999997	2.9447987559999964e-05	0.00184598263201	0.065488	0.005731800000000002	0.004288678144000001	3.285353124000003e-05	-0.000613127	0.000578713	3.75924718129e-07	3.34908736369e-07	-0.0	0.0	0.0	0.0	1.62551e-05	0.0	0.0	2.6422827601e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
314.67589062812635	10.330637796989153	106.72207729258085	99020.91614260453	272.7115828278606	-0.8640384287099323	74371.60740847707	0.7465624062875288	345.5182631195842	1.2654152291569858	1.6012757021824269	119382.87014917425	0.8864290000000001	99.506447	0.249014169	0.0419412546	0.0135386522	0.021409939700000002	0.0098560409	-0.0059819302	-0.0173096268	-0.0643584289	0.0185588136	0.0396052892	0.0313409004	0.0238277474	0.0695109738	0.0177525629	0.0112306705	-6.0855699999999994e-05	-0.0043483294	0.0602454229	-0.0003568243	0.0798867576	0.0797388611	0.0794925697	0.0791481873	0.0787061389	0.07816697	0.032137900000000004	0.032253119000000004	0.0010402636852281614	0.0010328446164100003	-0.055299400000000005	-0.0982643	0.00965587265449	0.003058023640360001	0.07809189999999999	0.012603899999999987	0.006098344845609999	0.00015885829520999968	0.00150473	0.0021178570000000003	2.2642123729e-06	4.485318272449e-06	-4.32081e-25	-4.32081e-25	1.8669399056099998e-49	1.8669399056099998e-49	1.62551e-05	0.0	0.0	2.6422827601e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
317.5033335203505	2.8274428922241555	7.9944333087888975	100808.36679653492	273.8241510362347	1.112568208374114	74979.66569071468	1.237808018284786	346.0643270561692	0.5460639365849715	0.29818582283867584	119760.51846083926	0.726973	81.60662099999998	0.325600275	0.027731196800000003	0.0380296775	0.018756873700000003	-0.0222834861	-0.0367974285	-0.0156171049	-0.0272832221	0.0342916738	0.0306842758	0.0478798368	0.0457004425	-0.024729812099999998	0.014870418799999997	-0.0208662513	-0.029759376400000002	-0.0048203166	0.0342868641	0.0118073916	0.0798545546	0.0796101548	0.0792033756	0.0786350467	0.0779063275	0.0770187042	0.0272117	-0.004926200000000002	2.4267446440000023e-05	0.0007404766168900001	-0.061144900000000016	-0.005845500000000004	3.4169870250000044e-05	0.003738698796010001	0.00273219	-0.07535971	7.464862196099998e-06	0.0056790858912841	-0.00309581	-0.00460054	9.5840395561e-06	2.11649682916e-05	-5.08694e-05	-5.08694e-05	2.58769585636e-09	2.58769585636e-09	0.000154223	0.0001379679	1.903514143041e-08	2.3784733729e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300.457721068748	-17.045612451602494	290.55290385022596	90274.84214982556	272.9644540678047	-0.8596969684300007	74509.59318453466	0.7390788775277335	344.28171464030885	-1.7826124158603418	3.1777070251794446	118529.89903567106	1.068477	119.942253	0.338533205	-0.0669514174	-0.061849830700000004	-0.0232415441	-0.011541465	0.0375646524	0.0237574708	0.0563467765	-0.0344213271	-0.0477617253	-0.0840873867	-0.0002813907	-0.0380044108	-0.0187896389	-0.0083529696	0.027954713500000002	0.008599803100000001	-0.0559923	-0.0675574843	0.0798143071	0.0794493692	0.0788423748	0.07799517339999999	0.07691034599999999	0.07559119780000001	0.0121361	-0.0150756	0.00022727371536000005	0.00014728492321	0.0767753	0.13792020000000002	0.019021981568040004	0.005894446690090001	0.05617819999999999	0.05344600999999999	0.003155990155239999	0.002856475984920099	-0.0008846739999999998	0.0022111360000000003	7.826480862759998e-07	4.889122410496001e-06	-0.00024660400000000004	-0.00019573460000000005	6.081353281600003e-08	3.831203363716002e-08	-8.073429999999997e-05	-0.0002349573	5.520493282328998e-08	6.518027196489995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
312.1480023986539	11.690281329905872	136.66267757234579	97436.37540147004	273.6437984948098	0.6793444270051054	74880.92845466807	0.461508850502895	345.52627984556955	1.2445652052606988	1.5489425501456051	119388.41006391885	1.020351	114.539902	0.192110915	0.0547509053	-0.0351492748	0.021479716200000002	0.0182049845	0.030341614700000002	-0.0396352253	-0.0314748321	0.0215595323	0.0499225145	-0.0060411538	-0.006997720799999999	0.0369639455	0.015082024599999999	0.0185019427	0.0337335771	-0.032160544900000004	0.031502100299999995	0.0487989282	0.0797660189	0.079256569	0.0784098948	0.0772295986	0.0757207024	0.07388962639999999	0.0314756	0.019339500000000003	0.00037401626025	0.00099071339536	0.046972	-0.029803300000000005	0.0008882366908900002	0.0022063687839999997	0.104485	0.0483068	0.010917115225	0.0023335469262399998	0.0008122389999999998	0.0016969129999999993	6.597321931209996e-07	2.879513729568998e-06	-0.000221986	2.461800000000004e-05	4.9277784196e-08	6.060459240000022e-10	9.0961e-05	0.00017169529999999994	2.9479276042089988e-08	8.273903520999999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
319.52263515337376	7.374632754719869	54.38520826698715	102094.714375356	272.57879813591853	-1.0650003588912682	74299.20119322183	1.13422576443853	348.5595436185503	3.0332637729807743	9.200689116477562	121493.75544757207	1.061356	119.14299	0.5514234499999999	0.0176399278	0.11214857	-0.013897520600000001	0.0416972275	-0.08645621960000001	-0.024897626800000003	-0.0090095563	-0.026869001400000002	-0.0209103564	0.1108755792	-0.0616754318	-0.008914895400000001	-0.0084197487	0.03576935	-0.08477158539999999	-0.0206697612	0.0238449562	-0.0023831216	0.079709695	0.0790318321	0.0779063275	0.0763395561	0.0743403923	0.0719201593	0.0364111	0.004935500000000002	2.4359160250000025e-05	0.0013257682032100002	-0.169095	-0.216067	0.046684948489	0.028593119025	-0.100642	-0.205127	0.010128812164	0.042077086129000005	-0.0007983939999999999	-0.0016106329999999998	6.374329792359998e-07	2.5941386606889994e-06	0.000374924	0.00059691	1.40568005776e-07	3.563015480999999e-07	0.000389297	0.000298336	8.900436889599998e-08	1.51552154209e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
308.6835032008125	-10.839131952561274	117.4867814850348	95285.505148326	274.8160994247516	2.2373012888330663	75523.88850303496	5.0055170570140985	346.37297188989106	-2.18657172865926	4.781095924571943	119974.23565583525	0.997048	111.924004	0.464564375	-0.0467095518	-0.0209410934	-0.0361445573	-0.0209135942	-0.0041935226	-0.0068086443000000005	0.0465670144	-0.0439123471	-0.0436085201	-0.034079449399999996	0.0004904028	0.0012301265	-0.0351777864	-0.0228047721	-0.0128254672	-0.020548488400000002	-0.0487622355	-0.056432813	0.079645341	0.0787752489	0.0773321295	0.0753264804	0.0727728912	0.06968993700000001	0.021362	-0.015049100000000003	0.0002264754108100001	0.000456335044	0.0576355	0.22673049999999997	0.05140671963025	0.0033218508602500005	0.0394801	0.1401221	0.0015586782960099995	0.01963420290841	-0.00159205	-0.0007936560000000001	2.5346232025e-06	6.298898463360003e-07	-8.473120000000001e-05	-0.00045965519999999996	7.179376253440002e-09	2.1128290288704e-07	-1.06453e-05	-0.0003999423	1.5995384332928998e-07	1.1332241209e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
302.6174866147634	-6.066016586049103	36.796557222222795	91577.34320503651	272.7161564182422	-2.09994300650942	74374.10197153912	4.409760630587823	345.5308311365303	-0.8421407533607521	0.7092010484710152	119391.55526590142	0.748337	84.004852	0.041421825	-0.0381348054	-0.0504546776	-0.0183591971	0.0068248247	0.0542151399	0.024049037599999996	0.0667030076	-0.024949617799999997	-0.0317649882	-0.0604287441	-0.0376967794	-0.052214297199999996	-0.0141927054	0.007121334100000001	0.051617845999999995	0.006227543100000001	-0.06986684650000001	-0.0177788629	0.0795729635	0.0784869228	0.0766878214	0.0741920043	0.0710221462	0.06720704549999999	0.0135919	-0.007770100000000001	6.0374454010000014e-05	0.00018473974561	0.0512023	-0.006433199999999999	4.138606224e-05	0.00262167552529	0.040504000000000005	0.001023900000000008	0.0016405740160000005	1.0483712100000167e-06	-0.00148436	0.00010768999999999991	2.2033246096000004e-06	1.1597136099999982e-08	-0.000255326	-0.0001705948	6.5191366276e-08	2.9102585787039995e-08	-0.000256253	-0.00024560770000000003	6.032314229929003e-08	6.566560000900002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
